Province_State,Confirmed 04-01-2020,Confirmed 05-01-2020,Confirmed 06-01-2020,Confirmed 07-01-2020,Confirmed 08-01-2020,Confirmed 09-01-2020,Confirmed 10-01-2020,Confirmed 11-01-2020,Confirmed 12-01-2020
Alabama,1171,7440,18525,39647,90299,127234,155727,194458,252900
Alaska,132,364,469,993,3184,5344,7996,16709,33139
Arizona,1530,7969,20129,84105,177002,202342,219212,247473,337139
Arkansas,584,3337,7443,21197,43173,61497,84821,113057,159309
California,9262,52542,116302,248148,515543,717892,824977,944472,1282752
Colorado,7604,20228,29228,36806,51819,61276,77513,127800,276655
Connecticut,3557,28764,42740,46572,49810,53006,57742,71207,118754
Delaware,368,4918,9605,11510,14877,17535,20787,25126,36343
Diamond Princess,49,49,49,49,49,49,49,49,49
District of Columbia,586,4658,8857,10365,12057,14049,15358,17369,21685
Florida,6956,34728,56830,158997,480028,631040,709144,807412,1008166
Georgia,4638,27489,47902,84242,190012,272697,319359,361982,476405
Grand Princess,103,103,103,103,103,103,103,103,103
Guam,77,145,175,267,359,1447,2550,4690,6889
Hawaii,224,619,652,926,2197,8653,12515,15154,18266
Idaho,566,2015,2839,6370,21110,32353,42561,65088,103305
Illinois,6980,56055,121234,144013,181754,238216,297884,423527,738846
Indiana,2564,18630,34830,45952,67122,94891,121176,182108,344373
Iowa,547,7884,19699,29514,45293,65847,90428,130974,233062
Kansas,485,4634,9920,14830,27590,42940,62292,90172,159730
Kentucky,632,4882,10046,15842,30723,49185,69728,108642,183164
Louisiana,6424,28711,40341,60178,116280,148882,166584,183341,237740
Maine,303,1123,2349,3294,3937,4549,5428,6711,11981
Maryland,1986,23472,53327,67918,89365,108863,125510,146145,201135
Massachusetts,7738,64311,100805,108882,118040,128888,132870,159707,229205
Michigan,9315,42356,57532,71089,91332,113820,139012,197406,395453
Minnesota,689,5730,25208,36716,55188,76355,100200,150672,322312
Mississippi,1073,7212,15752,27900,59881,83584,98886,120500,154411
Missouri,1778,8284,13722,21507,52598,88331,130729,195735,325759
Montana,208,453,519,1016,4081,7509,13500,33495,63205
Nebraska,210,5008,14345,19310,26391,34574,46185,71666,130194
Nevada,1279,5248,8702,19101,49074,69633,80410,101477,154842
New Hampshire,367,2310,4685,5802,6614,7297,8317,11190,21725
New Jersey,22255,121203,161246,172934,184358,195879,211378,252263,373556
New Mexico,340,3513,7800,12276,20796,25460,29661,47232,99419
New York,83948,308314,371711,394079,415767,437757,462861,513883,663500
North Carolina,1675,11070,29592,66751,124006,169424,212898,276692,367395
North Dakota,159,1153,2648,3660,6648,12242,22612,46220,81296
Northern Mariana Islands,2,14,22,30,42,56,70,96,106
Ohio,2547,18743,35984,52865,92087,124606,155314,219000,430093
Oklahoma,721,3748,6573,14119,37731,59398,88369,124111,199482
Oregon,736,2579,4302,8931,18817,26946,33862,45429,76654
Pennsylvania,5950,49646,76045,91110,117045,139258,164974,215533,374901
Puerto Rico,286,1575,3873,7537,17872,33421,49067,66661,53320
Recovered,0,0,0,0,0,0,0,0,0
Rhode Island,566,8962,14991,16853,19022,22002,24914,32874,57906
South Carolina,1293,6258,12148,37919,90599,119846,148323,178023,218912
South Dakota,129,2525,5034,6826,8867,13749,23136,47324,80912
Tennessee,2623,12576,23877,45114,106690,155019,195606,259867,377706
Texas,3514,24746,54959,173204,423961,658712,788955,936844,1254504
Utah,888,4828,9999,22716,40702,52403,74050,116510,198216
Vermont,321,879,983,1210,1421,1635,1755,2196,4239
Virgin Islands,30,66,70,90,421,1143,1326,1376,1550
Virginia,1483,16902,45398,63203,90801,121615,148721,182392,240063
Washington,5608,14637,22239,34152,58216,75977,90179,111848,175033
West Virginia,191,1152,2028,2979,6738,10513,16026,24883,48818
Wisconsin,1556,7314,18543,29199,54002,76584,125161,241422,416365
Wyoming,130,566,910,1514,2769,3874,6083,13723,33805
